StartDate,EndDate,marktprijs
2024-01-04 20:00:00.0000000 +01:00,2024-01-04 21:00:00.0000000 +01:00,0.10165000000
2024-01-04 21:00:00.0000000 +01:00,2024-01-04 22:00:00.0000000 +01:00,0.09677000000
2024-01-04 22:00:00.0000000 +01:00,2024-01-04 23:00:00.0000000 +01:00,0.09304000000
2024-01-04 23:00:00.0000000 +01:00,2024-01-05 00:00:00.0000000 +01:00,0.08861000000
2024-01-05 00:00:00.0000000 +01:00,2024-01-05 01:00:00.0000000 +01:00,0.08608000000
2024-01-05 01:00:00.0000000 +01:00,2024-01-05 02:00:00.0000000 +01:00,0.08051000000
2024-01-05 02:00:00.0000000 +01:00,2024-01-05 03:00:00.0000000 +01:00,0.07701000000
2024-01-05 03:00:00.0000000 +01:00,2024-01-05 04:00:00.0000000 +01:00,0.07288000000
2024-01-05 04:00:00.0000000 +01:00,2024-01-05 05:00:00.0000000 +01:00,0.07212000000
2024-01-05 05:00:00.0000000 +01:00,2024-01-05 06:00:00.0000000 +01:00,0.07452000000
2024-01-05 06:00:00.0000000 +01:00,2024-01-05 07:00:00.0000000 +01:00,0.08011000000
2024-01-05 07:00:00.0000000 +01:00,2024-01-05 08:00:00.0000000 +01:00,0.08717000000
2024-01-05 08:00:00.0000000 +01:00,2024-01-05 09:00:00.0000000 +01:00,0.08978000000
2024-01-05 09:00:00.0000000 +01:00,2024-01-05 10:00:00.0000000 +01:00,0.09500000000
2024-01-05 10:00:00.0000000 +01:00,2024-01-05 11:00:00.0000000 +01:00,0.09629000000
2024-01-05 11:00:00.0000000 +01:00,2024-01-05 12:00:00.0000000 +01:00,0.09822000000
2024-01-05 12:00:00.0000000 +01:00,2024-01-05 13:00:00.0000000 +01:00,0.09229000000
2024-01-05 13:00:00.0000000 +01:00,2024-01-05 14:00:00.0000000 +01:00,0.09165000000
2024-01-05 14:00:00.0000000 +01:00,2024-01-05 15:00:00.0000000 +01:00,0.09650000000
2024-01-05 15:00:00.0000000 +01:00,2024-01-05 16:00:00.0000000 +01:00,0.10013000000
2024-01-05 16:00:00.0000000 +01:00,2024-01-05 17:00:00.0000000 +01:00,0.10303000000
2024-01-05 17:00:00.0000000 +01:00,2024-01-05 18:00:00.0000000 +01:00,0.10743000000
2024-01-05 18:00:00.0000000 +01:00,2024-01-05 19:00:00.0000000 +01:00,0.10847000000
2024-01-05 19:00:00.0000000 +01:00,2024-01-05 20:00:00.0000000 +01:00,0.10400000000
2024-01-05 20:00:00.0000000 +01:00,2024-01-05 21:00:00.0000000 +01:00,0.10013000000
2024-01-05 21:00:00.0000000 +01:00,2024-01-05 22:00:00.0000000 +01:00,0.09421000000
2024-01-05 22:00:00.0000000 +01:00,2024-01-05 23:00:00.0000000 +01:00,0.09492000000
2024-01-05 23:00:00.0000000 +01:00,2024-01-06 00:00:00.0000000 +01:00,0.08680000000
2024-01-06 00:00:00.0000000 +01:00,2024-01-06 01:00:00.0000000 +01:00,0.08225000000
2024-01-06 01:00:00.0000000 +01:00,2024-01-06 02:00:00.0000000 +01:00,0.08020000000
2024-01-06 02:00:00.0000000 +01:00,2024-01-06 03:00:00.0000000 +01:00,0.07613000000
2024-01-06 03:00:00.0000000 +01:00,2024-01-06 04:00:00.0000000 +01:00,0.07301000000
2024-01-06 04:00:00.0000000 +01:00,2024-01-06 05:00:00.0000000 +01:00,0.07301000000
2024-01-06 05:00:00.0000000 +01:00,2024-01-06 06:00:00.0000000 +01:00,0.07459000000
2024-01-06 06:00:00.0000000 +01:00,2024-01-06 07:00:00.0000000 +01:00,0.07510000000
2024-01-06 07:00:00.0000000 +01:00,2024-01-06 08:00:00.0000000 +01:00,0.08139000000
2024-01-06 08:00:00.0000000 +01:00,2024-01-06 09:00:00.0000000 +01:00,0.08840000000
2024-01-06 09:00:00.0000000 +01:00,2024-01-06 10:00:00.0000000 +01:00,0.09223000000
2024-01-06 10:00:00.0000000 +01:00,2024-01-06 11:00:00.0000000 +01:00,0.09730000000
2024-01-06 11:00:00.0000000 +01:00,2024-01-06 12:00:00.0000000 +01:00,0.10043000000
2024-01-06 12:00:00.0000000 +01:00,2024-01-06 13:00:00.0000000 +01:00,0.09916000000
2024-01-06 13:00:00.0000000 +01:00,2024-01-06 14:00:00.0000000 +01:00,0.09452000000
2024-01-06 14:00:00.0000000 +01:00,2024-01-06 15:00:00.0000000 +01:00,0.09245000000
2024-01-06 15:00:00.0000000 +01:00,2024-01-06 16:00:00.0000000 +01:00,0.09418000000
2024-01-06 16:00:00.0000000 +01:00,2024-01-06 17:00:00.0000000 +01:00,0.09922000000
